Infinitive,соотнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соотнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соотнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соотнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соотнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соотнесу́
2nd Sing,соотнесёшь
3rd Sing,соотнесёт
1st Pl,соотнесём
2nd Pl,соотнесёте
3rd Pl,соотнесу́т
Past M,соотнёс
Past F,соотнесла́
Past N,соотнесло́
Past PL,соотнесли́
Imp S,соотнеси́
Imp PL,соотнеси́те
