Infinitive,созна́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,созна́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,созна́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,созна́юсь
2nd Sing,созна́ешься
3rd Sing,созна́ется
1st Pl,созна́емся
2nd Pl,созна́етесь
3rd Pl,созна́ются
Past M,созна́лся
Past F,созна́лась
Past N,созна́лось
Past PL,созна́лись
Imp S,созна́йся
Imp PL,созна́йтесь
