Infinitive,сотвори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сотвори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сотворённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сотвори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сотвори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сотворю́
2nd Sing,сотвори́шь
3rd Sing,сотвори́т
1st Pl,сотвори́м
2nd Pl,сотвори́те
3rd Pl,сотворя́т
Past M,сотвори́л
Past F,сотвори́ла
Past N,сотвори́ло
Past PL,сотвори́ли
Imp S,сотвори́
Imp PL,сотвори́те
