Infinitive,совпа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,совпа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,совпа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,совпа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,совпаду́
2nd Sing,совпадёшь
3rd Sing,совпадёт
1st Pl,совпадём
2nd Pl,совпадёте
3rd Pl,совпаду́т
Past M,совпа́л
Past F,совпа́ла
Past N,совпа́ло
Past PL,совпа́ли
Imp S,совпади́
Imp PL,совпади́те
