Infinitive,согна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,согна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,согна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгоню́
2nd Sing,сго́нишь
3rd Sing,сго́нит
1st Pl,сго́ним
2nd Pl,сго́ните
3rd Pl,сго́нят
Past M,согна́л
Past F,согнала́
Past N,согна́ло
Past PL,согна́ли
Imp S,сгони́
Imp PL,сгони́те
