Infinitive,сообща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сообща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сообща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сообща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сообща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сообща́юсь
2nd Sing,сообща́ешься
3rd Sing,сообща́ется
1st Pl,сообща́емся
2nd Pl,сообща́етесь
3rd Pl,сообща́ются
Past M,сообща́лся
Past F,сообща́лась
Past N,сообща́лось
Past PL,сообща́лись
Imp S,сообща́йся
Imp PL,сообща́йтесь
