Infinitive,сохраня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сохраня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сохраня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сохраня́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сохраня́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сохраня́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сохраня́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сохраня́ю
2nd Sing,сохраня́ешь
3rd Sing,сохраня́ет
1st Pl,сохраня́ем
2nd Pl,сохраня́ете
3rd Pl,сохраня́ют
Past M,сохраня́л
Past F,сохраня́ла
Past N,сохраня́ло
Past PL,сохраня́ли
Imp S,сохраня́й
Imp PL,сохраня́йте
