Infinitive,согласова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,согласова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согласо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согласова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,согласова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,согласу́ю
2nd Sing,согласу́ешь
3rd Sing,согласу́ет
1st Pl,согласу́ем
2nd Pl,согласу́ете
3rd Pl,согласу́ют
Past M,согласова́л
Past F,согласова́ла
Past N,согласова́ло
Past PL,согласова́ли
Imp S,согласу́й
Imp PL,согласу́йте
