Infinitive,согрева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,согрева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,согрева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согрева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,согрева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,согрева́юсь
2nd Sing,согрева́ешься
3rd Sing,согрева́ется
1st Pl,согрева́емся
2nd Pl,согрева́етесь
3rd Pl,согрева́ются
Past M,согрева́лся
Past F,согрева́лась
Past N,согрева́лось
Past PL,согрева́лись
Imp S,согрева́йся
Imp PL,согрева́йтесь
