Infinitive,соедини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соедини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соедини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соединю́сь
2nd Sing,соедини́шься
3rd Sing,соедини́тся
1st Pl,соедини́мся
2nd Pl,соедини́тесь
3rd Pl,соединя́тся
Past M,соедини́лся
Past F,соедини́лась
Past N,соедини́лось
Past PL,соедини́лись
Imp S,соедини́сь
Imp PL,соедини́тесь
