Infinitive,согласо́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,согласо́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,согласо́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согласо́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,согласо́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,согласо́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,согласо́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,согласо́вываю
2nd Sing,согласо́вываешь
3rd Sing,согласо́вывает
1st Pl,согласо́вываем
2nd Pl,согласо́вываете
3rd Pl,согласо́вывают
Past M,согласо́вывал
Past F,согласо́вывала
Past N,согласо́вывало
Past PL,согласо́вывали
Imp S,согласо́вывай
Imp PL,согласо́вывайте
