Infinitive,сове́товаться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сове́тующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сове́товавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сове́туясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сове́товавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сове́туюсь
2nd Sing,сове́туешься
3rd Sing,сове́туется
1st Pl,сове́туемся
2nd Pl,сове́туетесь
3rd Pl,сове́туются
Past M,сове́товался
Past F,сове́товалась
Past N,сове́товалось
Past PL,сове́товались
Imp S,сове́туйся
Imp PL,сове́туйтесь
