Infinitive,сокруши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сокруши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сокрушённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сокруши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сокруши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сокрушу́
2nd Sing,сокруши́шь
3rd Sing,сокруши́т
1st Pl,сокруши́м
2nd Pl,сокруши́те
3rd Pl,сокруша́т
Past M,сокруши́л
Past F,сокруши́ла
Past N,сокруши́ло
Past PL,сокруши́ли
Imp S,сокруши́
Imp PL,сокруши́те
