Infinitive,соотве́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соотве́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соотве́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соотве́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соотве́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,соотве́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,соотве́тствую
2nd Sing,соотве́тствуешь
3rd Sing,соотве́тствует
1st Pl,соотве́тствуем
2nd Pl,соотве́тствуете
3rd Pl,соотве́тствуют
Past M,соотве́тствовал
Past F,соотве́тствовала
Past N,соотве́тствовало
Past PL,соотве́тствовали
Imp S,соотве́тствуй
Imp PL,соотве́тствуйте
