Infinitive,созда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,созда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,созда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,созда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,созда́м
2nd Sing,созда́шь
3rd Sing,созда́ст
1st Pl,создади́м
2nd Pl,создади́те
3rd Pl,создаду́т
Past M,со́здал
Past F,создала́
Past N,со́здало
Past PL,со́здали
Imp S,созда́й
Imp PL,созда́йте
