Infinitive,сочета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сочета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сочета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сочета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сочета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сочета́юсь
2nd Sing,сочета́ешься
3rd Sing,сочета́ется
1st Pl,сочета́емся
2nd Pl,сочета́етесь
3rd Pl,сочета́ются
Past M,сочета́лся
Past F,сочета́лась
Past N,сочета́лось
Past PL,сочета́лись
Imp S,сочета́йся
Imp PL,сочета́йтесь
