Infinitive,сомкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сомкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сомкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сомкну́сь
2nd Sing,сомкнёшься
3rd Sing,сомкнётся
1st Pl,сомкнёмся
2nd Pl,сомкнётесь
3rd Pl,сомкну́тся
Past M,сомкну́лся
Past F,сомкну́лась
Past N,сомкну́лось
Past PL,сомкну́лись
Imp S,сомкни́сь
Imp PL,сомкни́тесь
