Infinitive,состри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,состри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,состри́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,состри́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сострю́
2nd Sing,состри́шь
3rd Sing,состри́т
1st Pl,состри́м
2nd Pl,состри́те
3rd Pl,состря́т
Past M,состри́л
Past F,состри́ла
Past N,состри́ло
Past PL,состри́ли
Imp S,состри́
Imp PL,состри́те
