Infinitive,совра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,совра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́вранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,совра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совру́
2nd Sing,соврёшь
3rd Sing,соврёт
1st Pl,соврём
2nd Pl,соврёте
3rd Pl,совру́т
Past M,совра́л
Past F,соврала́
Past N,совра́ло
Past PL,совра́ли
Imp S,соври́
Imp PL,соври́те
