Infinitive,сопротивля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сопротивля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопротивля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопротивля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопротивля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сопротивля́юсь
2nd Sing,сопротивля́ешься
3rd Sing,сопротивля́ется
1st Pl,сопротивля́емся
2nd Pl,сопротивля́етесь
3rd Pl,сопротивля́ются
Past M,сопротивля́лся
Past F,сопротивля́лась
Past N,сопротивля́лось
Past PL,сопротивля́лись
Imp S,сопротивля́йся
Imp PL,сопротивля́йтесь
