Infinitive,сокруша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сокруша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сокруша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сокруша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сокруша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сокруша́юсь
2nd Sing,сокруша́ешься
3rd Sing,сокруша́ется
1st Pl,сокруша́емся
2nd Pl,сокруша́етесь
3rd Pl,сокруша́ются
Past M,сокруша́лся
Past F,сокруша́лась
Past N,сокруша́лось
Past PL,сокруша́лись
Imp S,сокруша́йся
Imp PL,сокруша́йтесь
