Infinitive,созна́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,созна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́знанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,созна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,созна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,созна́ю
2nd Sing,созна́ешь
3rd Sing,созна́ет
1st Pl,созна́ем
2nd Pl,созна́ете
3rd Pl,созна́ют
Past M,созна́л
Past F,созна́ла
Past N,созна́ло
Past PL,созна́ли
Imp S,созна́й
Imp PL,созна́йте
