Infinitive,сотряса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сотряса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сотряса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сотряса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сотряса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сотряса́юсь
2nd Sing,сотряса́ешься
3rd Sing,сотряса́ется
1st Pl,сотряса́емся
2nd Pl,сотряса́етесь
3rd Pl,сотряса́ются
Past M,сотряса́лся
Past F,сотряса́лась
Past N,сотряса́лось
Past PL,сотряса́лись
Imp S,сотряса́йся
Imp PL,сотряса́йтесь
