Infinitive,собра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,собра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,собра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,собра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соберу́
2nd Sing,соберёшь
3rd Sing,соберёт
1st Pl,соберём
2nd Pl,соберёте
3rd Pl,соберу́т
Past M,собра́л
Past F,собрала́
Past N,собра́ло
Past PL,собра́ли
Imp S,собери́
Imp PL,собери́те
