Infinitive,содра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,содра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,содра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,содра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдеру́
2nd Sing,сдерёшь
3rd Sing,сдерёт
1st Pl,сдерём
2nd Pl,сдерёте
3rd Pl,сдеру́т
Past M,содра́л
Past F,содрала́
Past N,содра́ло
Past PL,содра́ли
Imp S,сдери́
Imp PL,сдери́те
