Infinitive,согре́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,согре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,согре́юсь
2nd Sing,согре́ешься
3rd Sing,согре́ется
1st Pl,согре́емся
2nd Pl,согре́етесь
3rd Pl,согре́ются
Past M,согре́лся
Past F,согре́лась
Past N,согре́лось
Past PL,согре́лись
Imp S,согре́йся
Imp PL,согре́йтесь
