Infinitive,сопе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сопя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сопе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,соплю́
2nd Sing,сопи́шь
3rd Sing,сопи́т
1st Pl,сопи́м
2nd Pl,сопи́те
3rd Pl,сопя́т
Past M,сопе́л
Past F,сопе́ла
Past N,сопе́ло
Past PL,сопе́ли
Imp S,сопи́
Imp PL,сопи́те
