Infinitive,соблюсти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соблю́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соблюдённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соблюдя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соблю́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соблюду́
2nd Sing,соблюдёшь
3rd Sing,соблюдёт
1st Pl,соблюдём
2nd Pl,соблюдёте
3rd Pl,соблюду́т
Past M,соблю́л
Past F,соблюла́
Past N,соблюло́
Past PL,соблюли́
Imp S,соблюди́
Imp PL,соблюди́те
