Infinitive,соблазни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соблазни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соблазнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соблазни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соблазни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соблазню́
2nd Sing,соблазни́шь
3rd Sing,соблазни́т
1st Pl,соблазни́м
2nd Pl,соблазни́те
3rd Pl,соблазня́т
Past M,соблазни́л
Past F,соблазни́ла
Past N,соблазни́ло
Past PL,соблазни́ли
Imp S,соблазни́
Imp PL,соблазни́те
