Infinitive,сожра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сожра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́жранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сожра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сожра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сожру́
2nd Sing,сожрёшь
3rd Sing,сожрёт
1st Pl,сожрём
2nd Pl,сожрёте
3rd Pl,сожру́т
Past M,сожра́л
Past F,сожрала́
Past N,сожра́ло
Past PL,сожра́ли
Imp S,сожри́
Imp PL,сожри́те
