Infinitive,сознава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сознаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сознава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сознава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сознава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сознаю́сь
2nd Sing,сознаёшься
3rd Sing,сознаётся
1st Pl,сознаёмся
2nd Pl,сознаётесь
3rd Pl,сознаю́тся
Past M,сознава́лся
Past F,сознава́лась
Past N,сознава́лось
Past PL,сознава́лись
Imp S,сознава́йся
Imp PL,сознава́йтесь
