Infinitive,сова́ть
Zaliznyak Class,2b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сую́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,со́ванный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,суя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сова́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сова́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сую́
2nd Sing,суёшь
3rd Sing,суёт
1st Pl,суём
2nd Pl,суёте
3rd Pl,сую́т
Past M,сова́л
Past F,сова́ла
Past N,сова́ло
Past PL,сова́ли
Imp S,су́й
Imp PL,су́йте
