Infinitive,сократи́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сократи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сокращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сократи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сократи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сокращу́
2nd Sing,сократи́шь
3rd Sing,сократи́т
1st Pl,сократи́м
2nd Pl,сократи́те
3rd Pl,сократя́т
Past M,сократи́л
Past F,сократи́ла
Past N,сократи́ло
Past PL,сократи́ли
Imp S,сократи́
Imp PL,сократи́те
