Infinitive,сообщи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сообщи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сообщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сообщи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сообщи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сообщу́
2nd Sing,сообщи́шь
3rd Sing,сообщи́т
1st Pl,сообщи́м
2nd Pl,сообщи́те
3rd Pl,сообща́т
Past M,сообщи́л
Past F,сообщи́ла
Past N,сообщи́ло
Past PL,сообщи́ли
Imp S,сообщи́
Imp PL,сообщи́те
