Infinitive,сосредото́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сосредото́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосредото́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сосредото́чусь
2nd Sing,сосредото́чишься
3rd Sing,сосредото́чится
1st Pl,сосредото́чимся
2nd Pl,сосредото́читесь
3rd Pl,сосредото́чатся
Past M,сосредото́чился
Past F,сосредото́чилась
Past N,сосредото́чилось
Past PL,сосредото́чились
Imp S,сосредото́чься
Imp PL,сосредото́чьтесь
