Infinitive,собира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,собира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,собира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,собира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,собира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,собира́юсь
2nd Sing,собира́ешься
3rd Sing,собира́ется
1st Pl,собира́емся
2nd Pl,собира́етесь
3rd Pl,собира́ются
Past M,собира́лся
Past F,собира́лась
Past N,собира́лось
Past PL,собира́лись
Imp S,собира́йся
Imp PL,собира́йтесь
