Infinitive,сократи́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сократи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сократи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сокращу́сь
2nd Sing,сократи́шься
3rd Sing,сократи́тся
1st Pl,сократи́мся
2nd Pl,сократи́тесь
3rd Pl,сократя́тся
Past M,сократи́лся
Past F,сократи́лась
Past N,сократи́лось
Past PL,сократи́лись
Imp S,сократи́сь
Imp PL,сократи́тесь
