Infinitive,составля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,составля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,составля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,составля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,составля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,составля́юсь
2nd Sing,составля́ешься
3rd Sing,составля́ется
1st Pl,составля́емся
2nd Pl,составля́етесь
3rd Pl,составля́ются
Past M,составля́лся
Past F,составля́лась
Past N,составля́лось
Past PL,составля́лись
Imp S,составля́йся
Imp PL,составля́йтесь
