Infinitive,сопоставля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сопоставля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопоставля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопоставля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопоставля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сопоставля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сопоставля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сопоставля́ю
2nd Sing,сопоставля́ешь
3rd Sing,сопоставля́ет
1st Pl,сопоставля́ем
2nd Pl,сопоставля́ете
3rd Pl,сопоставля́ют
Past M,сопоставля́л
Past F,сопоставля́ла
Past N,сопоставля́ло
Past PL,сопоставля́ли
Imp S,сопоставля́й
Imp PL,сопоставля́йте
