Infinitive,со́хнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,со́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́хший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,со́хнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,со́хнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,со́хши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,со́хну
2nd Sing,со́хнешь
3rd Sing,со́хнет
1st Pl,со́хнем
2nd Pl,со́хнете
3rd Pl,со́хнут
Past M,со́х
Past F,со́хла
Past N,со́хло
Past PL,со́хли
Imp S,со́хни
Imp PL,со́хните
