Infinitive,сотру́дничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сотру́дничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сотру́дничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сотру́дничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сотру́дничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сотру́дничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сотру́дничаю
2nd Sing,сотру́дничаешь
3rd Sing,сотру́дничает
1st Pl,сотру́дничаем
2nd Pl,сотру́дничаете
3rd Pl,сотру́дничают
Past M,сотру́дничал
Past F,сотру́дничала
Past N,сотру́дничало
Past PL,сотру́дничали
Imp S,сотру́дничай
Imp PL,сотру́дничайте
