Infinitive,сощу́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сощу́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сощу́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сощу́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сощу́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сощу́рю
2nd Sing,сощу́ришь
3rd Sing,сощу́рит
1st Pl,сощу́рим
2nd Pl,сощу́рите
3rd Pl,сощу́рят
Past M,сощу́рил
Past F,сощу́рила
Past N,сощу́рило
Past PL,сощу́рили
Imp S,сощу́рь
Imp PL,сощу́рьте
