Infinitive,соотноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соотнося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соотноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соотнося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соотноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соотношу́сь
2nd Sing,соотно́сишься
3rd Sing,соотно́сится
1st Pl,соотно́симся
2nd Pl,соотно́ситесь
3rd Pl,соотно́сятся
Past M,соотноси́лся
Past F,соотноси́лась
Past N,соотноси́лось
Past PL,соотноси́лись
Imp S,соотноси́сь
Imp PL,соотноси́тесь
