Infinitive,сопу́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сопу́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопу́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопу́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопу́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сопу́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сопу́тствую
2nd Sing,сопу́тствуешь
3rd Sing,сопу́тствует
1st Pl,сопу́тствуем
2nd Pl,сопу́тствуете
3rd Pl,сопу́тствуют
Past M,сопу́тствовал
Past F,сопу́тствовала
Past N,сопу́тствовало
Past PL,сопу́тствовали
Imp S,сопу́тствуй
Imp PL,сопу́тствуйте
