Infinitive,соприкаса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соприкаса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соприкаса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соприкаса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соприкаса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соприкаса́юсь
2nd Sing,соприкаса́ешься
3rd Sing,соприкаса́ется
1st Pl,соприкаса́емся
2nd Pl,соприкаса́етесь
3rd Pl,соприкаса́ются
Past M,соприкаса́лся
Past F,соприкаса́лась
Past N,соприкаса́лось
Past PL,соприкаса́лись
Imp S,соприкаса́йся
Imp PL,соприкаса́йтесь
