Infinitive,сосредота́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сосредота́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосредота́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосредота́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сосредота́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сосредота́чиваюсь
2nd Sing,сосредота́чиваешься
3rd Sing,сосредота́чивается
1st Pl,сосредота́чиваемся
2nd Pl,сосредота́чиваетесь
3rd Pl,сосредота́чиваются
Past M,сосредота́чивался
Past F,сосредота́чивалась
Past N,сосредота́чивалось
Past PL,сосредота́чивались
Imp S,сосредота́чивайся
Imp PL,сосредота́чивайтесь
