Infinitive,соверши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соверши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соверши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,совершу́сь
2nd Sing,соверши́шься
3rd Sing,соверши́тся
1st Pl,соверши́мся
2nd Pl,соверши́тесь
3rd Pl,соверша́тся
Past M,соверши́лся
Past F,соверши́лась
Past N,соверши́лось
Past PL,соверши́лись
Imp S,соверши́сь
Imp PL,соверши́тесь
