Infinitive,соверша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соверша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соверша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соверша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соверша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соверша́юсь
2nd Sing,соверша́ешься
3rd Sing,соверша́ется
1st Pl,соверша́емся
2nd Pl,соверша́етесь
3rd Pl,соверша́ются
Past M,соверша́лся
Past F,соверша́лась
Past N,соверша́лось
Past PL,соверша́лись
Imp S,соверша́йся
Imp PL,соверша́йтесь
