Infinitive,соприкосну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соприкосну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соприкосну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соприкосну́сь
2nd Sing,соприкоснёшься
3rd Sing,соприкоснётся
1st Pl,соприкоснёмся
2nd Pl,соприкоснётесь
3rd Pl,соприкосну́тся
Past M,соприкосну́лся
Past F,соприкосну́лась
Past N,соприкосну́лось
Past PL,соприкосну́лись
Imp S,соприкосни́сь
Imp PL,соприкосни́тесь
