Infinitive,соску́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соску́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соску́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соску́чусь
2nd Sing,соску́чишься
3rd Sing,соску́чится
1st Pl,соску́чимся
2nd Pl,соску́читесь
3rd Pl,соску́чатся
Past M,соску́чился
Past F,соску́чилась
Past N,соску́чилось
Past PL,соску́чились
Imp S,соску́чься
Imp PL,соску́чьтесь
