Infinitive,соединя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соединя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соединя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соединя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соединя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соединя́юсь
2nd Sing,соединя́ешься
3rd Sing,соединя́ется
1st Pl,соединя́емся
2nd Pl,соединя́етесь
3rd Pl,соединя́ются
Past M,соединя́лся
Past F,соединя́лась
Past N,соединя́лось
Past PL,соединя́лись
Imp S,соединя́йся
Imp PL,соединя́йтесь
