Infinitive,сосредото́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сосредото́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосредото́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосредото́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сосредото́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сосредото́чу
2nd Sing,сосредото́чишь
3rd Sing,сосредото́чит
1st Pl,сосредото́чим
2nd Pl,сосредото́чите
3rd Pl,сосредото́чат
Past M,сосредото́чил
Past F,сосредото́чила
Past N,сосредото́чило
Past PL,сосредото́чили
Imp S,сосредото́чь
Imp PL,сосредото́чьте
