Infinitive,сожале́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сожале́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сожале́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сожале́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сожале́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сожале́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сожале́ю
2nd Sing,сожале́ешь
3rd Sing,сожале́ет
1st Pl,сожале́ем
2nd Pl,сожале́ете
3rd Pl,сожале́ют
Past M,сожале́л
Past F,сожале́ла
Past N,сожале́ло
Past PL,сожале́ли
Imp S,сожале́й
Imp PL,сожале́йте
