Infinitive,сослужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сослужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сослу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сослужи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сослужи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сослужу́
2nd Sing,сослу́жишь
3rd Sing,сослу́жит
1st Pl,сослу́жим
2nd Pl,сослу́жите
3rd Pl,сослу́жат
Past M,сослужи́л
Past F,сослужи́ла
Past N,сослужи́ло
Past PL,сослужи́ли
Imp S,сослужи́
Imp PL,сослужи́те
