Infinitive,сосе́дствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сосе́дствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосе́дствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосе́дствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сосе́дствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сосе́дствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сосе́дствую
2nd Sing,сосе́дствуешь
3rd Sing,сосе́дствует
1st Pl,сосе́дствуем
2nd Pl,сосе́дствуете
3rd Pl,сосе́дствуют
Past M,сосе́дствовал
Past F,сосе́дствовала
Past N,сосе́дствовало
Past PL,сосе́дствовали
Imp S,сосе́дствуй
Imp PL,сосе́дствуйте
