Infinitive,соглаша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соглаша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соглаша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соглаша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соглаша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соглаша́юсь
2nd Sing,соглаша́ешься
3rd Sing,соглаша́ется
1st Pl,соглаша́емся
2nd Pl,соглаша́етесь
3rd Pl,соглаша́ются
Past M,соглаша́лся
Past F,соглаша́лась
Past N,соглаша́лось
Past PL,соглаша́лись
Imp S,соглаша́йся
Imp PL,соглаша́йтесь
