Infinitive,содрогну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,содрогну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,содрогну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,содрогну́сь
2nd Sing,содрогнёшься
3rd Sing,содрогнётся
1st Pl,содрогнёмся
2nd Pl,содрогнётесь
3rd Pl,содрогну́тся
Past M,содрогну́лся
Past F,содрогну́лась
Past N,содрогну́лось
Past PL,содрогну́лись
Imp S,содрогни́сь
Imp PL,содрогни́тесь
