Infinitive,совеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,совеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,совеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,совеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совеща́юсь
2nd Sing,совеща́ешься
3rd Sing,совеща́ется
1st Pl,совеща́емся
2nd Pl,совеща́етесь
3rd Pl,совеща́ются
Past M,совеща́лся
Past F,совеща́лась
Past N,совеща́лось
Past PL,совеща́лись
Imp S,совеща́йся
Imp PL,совеща́йтесь
