Infinitive,сохрани́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сохрани́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сохрани́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сохраню́сь
2nd Sing,сохрани́шься
3rd Sing,сохрани́тся
1st Pl,сохрани́мся
2nd Pl,сохрани́тесь
3rd Pl,сохраня́тся
Past M,сохрани́лся
Past F,сохрани́лась
Past N,сохрани́лось
Past PL,сохрани́лись
Imp S,сохрани́сь
Imp PL,сохрани́тесь
