Infinitive,сомнева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сомнева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сомнева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сомнева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сомнева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сомнева́юсь
2nd Sing,сомнева́ешься
3rd Sing,сомнева́ется
1st Pl,сомнева́емся
2nd Pl,сомнева́етесь
3rd Pl,сомнева́ются
Past M,сомнева́лся
Past F,сомнева́лась
Past N,сомнева́лось
Past PL,сомнева́лись
Imp S,сомнева́йся
Imp PL,сомнева́йтесь
