Infinitive,соде́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соде́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соде́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соде́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соде́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соде́ю
2nd Sing,соде́ешь
3rd Sing,соде́ет
1st Pl,соде́ем
2nd Pl,соде́ете
3rd Pl,соде́ют
Past M,соде́ял
Past F,соде́яла
Past N,соде́яло
Past PL,соде́яли
Imp S,соде́й
Imp PL,соде́йте
