Infinitive,соверше́нствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соверше́нствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соверше́нствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соверше́нствуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соверше́нствованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,соверше́нствуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,соверше́нствовав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,соверше́нствовавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,соверше́нствую
2nd Sing,соверше́нствуешь
3rd Sing,соверше́нствует
1st Pl,соверше́нствуем
2nd Pl,соверше́нствуете
3rd Pl,соверше́нствуют
Past M,соверше́нствовал
Past F,соверше́нствовала
Past N,соверше́нствовало
Past PL,соверше́нствовали
Imp S,соверше́нствуй
Imp PL,соверше́нствуйте
