Infinitive,созвони́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,созвони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,созвони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,созвоню́сь
2nd Sing,созвони́шься
3rd Sing,созвони́тся
1st Pl,созвони́мся
2nd Pl,созвони́тесь
3rd Pl,созвоня́тся
Past M,созвони́лся
Past F,созвони́лась
Past N,созвони́лось
Past PL,созвони́лись
Imp S,созвони́сь
Imp PL,созвони́тесь
