Infinitive,сове́товать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сове́тующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сове́товавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сове́туя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сове́товав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сове́товавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сове́тую
2nd Sing,сове́туешь
3rd Sing,сове́тует
1st Pl,сове́туем
2nd Pl,сове́туете
3rd Pl,сове́туют
Past M,сове́товал
Past F,сове́товала
Past N,сове́товало
Past PL,сове́товали
Imp S,сове́туй
Imp PL,сове́туйте
